name,type,uf
Camalaú,municipio,PB
Camamu,municipio,BA
Camanducaia,municipio,MG
Camapuã,municipio,MS
Camaquã,municipio,RS
Camaragibe,municipio,PE
Camargo,municipio,RS
Cambará,municipio,PR
Cambará do Sul,municipio,RS
Cambé,municipio,PR
Cambira,municipio,PR
Camboriú,municipio,SC
Cambuci,municipio,RJ
Cambuí,municipio,MG
Cambuquira,municipio,MG
Cametá,municipio,PA
Camocim,municipio,CE
Camocim de São Félix,municipio,PE
Campanário,municipio,MG
Campanha,municipio,MG
Campestre,municipio,AL
Campestre,municipio,MG
Campestre da Serra,municipio,RS
Campestre de Goiás,municipio,GO
Campestre do Maranhão,municipio,MA
Campina da Lagoa,municipio,PR
Campina das Missões,municipio,RS
Campina do Monte Alegre,municipio,SP
Campina do Simão,municipio,PR
Campina Grande,municipio,PB
Campina Grande do Sul,municipio,PR
Campina Verde,municipio,MG
Campinaçu,municipio,GO
Campinápolis,municipio,MT
Campinas,municipio,SP
Campinas do Piauí,municipio,PI
Campinas do Sul,municipio,RS
Campinorte,municipio,GO
Campo Alegre,municipio,AL
Campo Alegre,municipio,SC
Campo Alegre de Goiás,municipio,GO
Campo Alegre de Lourdes,municipio,BA
Campo Alegre do Fidalgo,municipio,PI
Campo Azul,municipio,MG
Campo Belo,municipio,MG
Campo Belo do Sul,municipio,SC
Campo Bom,municipio,RS
Campo Bonito,municipio,PR
Campo do Brito,municipio,SE
Campo do Meio,municipio,MG
Campo do Tenente,municipio,PR
Campo Erê,municipio,SC
Campo Florido,municipio,MG
Campo Formoso,municipio,BA
Campo Grande,municipio,AL
Campo Grande,municipio,MS
Campo Grande do Piauí,municipio,PI
Campo Largo,municipio,PR
Campo Largo do Piauí,municipio,PI
Campo Limpo de Goiás,municipio,GO
Campo Limpo Paulista,municipio,SP
Campo Magro,municipio,PR
Campo Maior,municipio,PI
Campo Mourão,municipio,PR
Campo Novo,municipio,RS
Campo Novo de Rondônia,municipio,RO
Campo Novo do Parecis,municipio,MT
Campo Redondo,municipio,RN
Campo Verde,municipio,MT
Campos Altos,municipio,MG
Campos Belos,municipio,GO
Campos Borges,municipio,RS
Campos de Júlio,municipio,MT
Campos do Jordão,municipio,SP
Campos dos Goytacazes,municipio,RJ
Campos Gerais,municipio,MG
Campos Lindos,municipio,TO
Campos Novos,municipio,SC
Campos Novos Paulista,municipio,SP
Campos Sales,municipio,CE
Campos Verdes,municipio,GO
Camutanga,municipio,PE
Cana Verde,municipio,MG
Canaã,municipio,MG
Canaã dos Carajás,municipio,PA
Canabrava do Norte,municipio,MT
Cananeia,municipio,SP
Canapi,municipio,AL
Canápolis,municipio,BA
Canápolis,municipio,MG
Canarana,municipio,BA
Canarana,municipio,MT
Canas,municipio,SP
Canavieira,municipio,PI
Canavieiras,municipio,BA
Candeal,municipio,BA
Candeias,municipio,BA
Candeias,municipio,MG
Candeias do Jamari,municipio,RO
Candelária,municipio,RS
Candiba,municipio,BA
Cândido de Abreu,municipio,PR
Cândido Godói,municipio,RS
Cândido Mendes,municipio,MA
Cândido Mota,municipio,SP
Cândido Rodrigues,municipio,SP
Cândido Sales,municipio,BA
Candiota,municipio,RS
Candói,municipio,PR
Canela,municipio,RS
Canelinha,municipio,SC
Canguaretama,municipio,RN
Canguçu,municipio,RS
Canhoba,municipio,SE
Canhotinho,municipio,PE
Canindé,municipio,CE
Canindé de São Francisco,municipio,SE
Canitar,municipio,SP
Canoas,municipio,RS
Canoinhas,municipio,SC
Cansanção,municipio,BA
Cantá,municipio,RR
Cantagalo,municipio,MG
Cantagalo,municipio,RJ
Cantagalo,municipio,PR
Cantanhede,municipio,MA
Canto do Buriti,municipio,PI
Canudos,municipio,BA
Canudos do Vale,municipio,RS
Canutama,municipio,AM
Capanema,municipio,PA
Capanema,municipio,PR
Capão Alto,municipio,SC
Capão Bonito,municipio,SP
Capão Bonito do Sul,municipio,RS
Capão da Canoa,municipio,RS
Capão do Cipó,municipio,RS
Capão do Leão,municipio,RS
Caparaó,municipio,MG
Capela,municipio,AL
Capela,municipio,SE
Capela de Santana,municipio,RS
Capela do Alto,municipio,SP
Capela do Alto Alegre,municipio,BA
Capela Nova,municipio,MG
Capelinha,municipio,MG
Capetinga,municipio,MG
Capim,municipio,PB
Capim Branco,municipio,MG
Capim Grosso,municipio,BA
Capinópolis,municipio,MG
Capinzal,municipio,SC
Capinzal do Norte,municipio,MA
Capistrano,municipio,CE
Capitão,municipio,RS
Capitão Andrade,municipio,MG
Capitão de Campos,municipio,PI
Capitão Enéas,municipio,MG
Capitão Gervásio Oliveira,municipio,PI
Capitão Leônidas Marques,municipio,PR
Capitão Poço,municipio,PA
Capitólio,municipio,MG
Capivari,municipio,SP
Capivari de Baixo,municipio,SC
Capivari do Sul,municipio,RS
Capixaba,municipio,AC
Capoeiras,municipio,PE
Caputira,municipio,MG
Caraá,municipio,RS
Caracaraí,municipio,RR
Caracol,municipio,PI
Caracol,municipio,MS
Caraguatatuba,municipio,SP
Caraí,municipio,MG
Caraíbas,municipio,BA
Carambeí,municipio,PR
Caranaíba,municipio,MG
Carandaí,municipio,MG
Carangola,municipio,MG
Carapebus,municipio,RJ
Carapicuíba,municipio,SP
Caratinga,municipio,MG
Carauari,municipio,AM
Caraúbas,municipio,RN
Caraúbas,municipio,PB
Caraúbas do Piauí,municipio,PI
Caravelas,municipio,BA
Carazinho,municipio,RS
Carbonita,municipio,MG
Cardeal da Silva,municipio,BA
Cardoso,municipio,SP
Cardoso Moreira,municipio,RJ
Careaçu,municipio,MG
Careiro,municipio,AM
Careiro da Várzea,municipio,AM
Cariacica,municipio,ES
Caridade,municipio,CE
Caridade do Piauí,municipio,PI
Carinhanha,municipio,BA
Carira,municipio,SE
Cariré,municipio,CE
Cariri do Tocantins,municipio,TO
Caririaçu,municipio,CE
Cariús,municipio,CE
Carlinda,municipio,MT
Carlópolis,municipio,PR
Carlos Barbosa,municipio,RS
Carlos Chagas,municipio,MG
Carlos Gomes,municipio,RS
Carmésia,municipio,MG
Carmo,municipio,RJ
Carmo da Cachoeira,municipio,MG
Carmo da Mata,municipio,MG
Carmo de Minas,municipio,MG
Carmo do Cajuru,municipio,MG
Carmo do Paranaíba,municipio,MG
Carmo do Rio Claro,municipio,MG
Carmo do Rio Verde,municipio,GO
Carmolândia,municipio,TO
Carmópolis,municipio,SE
Carmópolis de Minas,municipio,MG
Carnaíba,municipio,PE
Carnaúba dos Dantas,municipio,RN
Carnaubais,municipio,RN
Carnaubal,municipio,CE
Carnaubeira da Penha,municipio,PE
Carneirinho,municipio,MG
Carneiros,municipio,AL
Caroebe,municipio,RR
Carolina,municipio,MA
Carpina,municipio,PE
Carrancas,municipio,MG
Carrapateira,municipio,PB
Carrasco Bonito,municipio,TO
Caruaru,municipio,PE
Carutapera,municipio,MA
Carvalhópolis,municipio,MG
Carvalhos,municipio,MG
Casa Branca,municipio,SP
Casa Grande,municipio,MG
Casa Nova,municipio,BA
Casca,municipio,RS
Cascalho Rico,municipio,MG
Cascavel,municipio,CE
Cascavel,municipio,PR
Caseara,municipio,TO
Caseiros,municipio,RS
Casimiro de Abreu,municipio,RJ
Casinhas,municipio,PE
Casserengue,municipio,PB
Cássia,municipio,MG
Cássia dos Coqueiros,municipio,SP
Cassilândia,municipio,MS
Castanhal,municipio,PA
Castanheira,municipio,MT
Castanheiras,municipio,RO
Castelândia,municipio,GO
Castelo,municipio,ES
Castelo do Piauí,municipio,PI
Castilho,municipio,SP
Castro,municipio,PR
Castro Alves,municipio,BA
Cataguases,municipio,MG
Catalão,municipio,GO
Catanduva,municipio,SP
Catanduvas,municipio,PR
Catanduvas,municipio,SC
Catarina,municipio,CE
Catas Altas,municipio,MG
Catas Altas da Noruega,municipio,MG
Catende,municipio,PE
Catiguá,municipio,SP
Catingueira,municipio,PB
Catolândia,municipio,BA
Catolé do Rocha,municipio,PB
Catu,municipio,BA
Catuípe,municipio,RS
Catuji,municipio,MG
Catunda,municipio,CE
Caturaí,municipio,GO
Caturama,municipio,BA
Caturité,municipio,PB
Catuti,municipio,MG
Caucaia,municipio,CE
Cavalcante,municipio,GO
Caxambu,municipio,MG
Caxambu do Sul,municipio,SC
Caxias,municipio,MA
Caxias do Sul,municipio,RS
Caxingó,municipio,PI
Ceará-Mirim,municipio,RN
Cedral,municipio,MA
Cedral,municipio,SP
Cedro,municipio,CE
Cedro,municipio,PE
Cedro de São João,municipio,SE
Cedro do Abaeté,municipio,MG
Celso Ramos,municipio,SC
Centenário,municipio,TO
Centenário,municipio,RS
Centenário do Sul,municipio,PR
Central,municipio,BA
Central de Minas,municipio,MG
Central do Maranhão,municipio,MA
Centralina,municipio,MG
Centro do Guilherme,municipio,MA
Centro Novo do Maranhão,municipio,MA
Cerejeiras,municipio,RO
Ceres,municipio,GO
Cerqueira César,municipio,SP
Cerquilho,municipio,SP
Cerrito,municipio,RS
Cerro Azul,municipio,PR
Cerro Branco,municipio,RS
Cerro Corá,municipio,RN
Cerro Grande,municipio,RS
Cerro Grande do Sul,municipio,RS
Cerro Largo,municipio,RS
Cerro Negro,municipio,SC
Cesário Lange,municipio,SP
Céu Azul,municipio,PR
Cezarina,municipio,GO
Chã de Alegria,municipio,PE
Chã Grande,municipio,PE
Chã Preta,municipio,AL
Chácara,municipio,MG
Chalé,municipio,MG
Chapada,municipio,RS
Chapada da Natividade,municipio,TO
Chapada de Areia,municipio,TO
Chapada do Norte,municipio,MG
Chapada dos Guimarães,municipio,MT
Chapada Gaúcha,municipio,MG
Chapadão do Céu,municipio,GO
Chapadão do Lageado,municipio,SC
Chapadão do Sul,municipio,MS
Chapadinha,municipio,MA
Chapecó,municipio,SC
Charqueada,municipio,SP
Charqueadas,municipio,RS
Charrua,municipio,RS
Chaval,municipio,CE
Chavantes,municipio,SP
Chaves,municipio,PA
Chiador,municipio,MG
Chiapetta,municipio,RS
Chopinzinho,municipio,PR
Choró,municipio,CE
Chorozinho,municipio,CE
Chorrochó,municipio,BA
Chuí,municipio,RS
Chupinguaia,municipio,RO
Chuvisca,municipio,RS
Cianorte,municipio,PR
Cícero Dantas,municipio,BA
Cidade Gaúcha,municipio,PR
Cidade Ocidental,municipio,GO
Cidelândia,municipio,MA
Cidreira,municipio,RS
Cipó,municipio,BA
Cipotânea,municipio,MG
Ciríaco,municipio,RS
Claraval,municipio,MG
Claro dos Poções,municipio,MG
Cláudia,municipio,MT
Cláudio,municipio,MG
Clementina,municipio,SP
Clevelândia,municipio,PR
Coaraci,municipio,BA
Coari,municipio,AM
Cocal,municipio,PI
Cocal de Telha,municipio,PI
Cocal do Sul,municipio,SC
Cocal dos Alves,municipio,PI
Cocalinho,municipio,MT
Cocalzinho de Goiás,municipio,GO
Cocos,municipio,BA
Codajás,municipio,AM
Codó,municipio,MA
Coelho Neto,municipio,MA
Coimbra,municipio,MG
Coité do Noia,municipio,AL
Coivaras,municipio,PI
Colares,municipio,PA
Colatina,municipio,ES
Colíder,municipio,MT
Colina,municipio,SP
Colinas,municipio,MA
Colinas,municipio,RS
Colinas do Sul,municipio,GO
Colinas do Tocantins,municipio,TO
Colmeia,municipio,TO
Colniza,municipio,MT
Colômbia,municipio,SP
Colombo,municipio,PR
Colônia do Gurgueia,municipio,PI
Colônia do Piauí,municipio,PI
Colônia Leopoldina,municipio,AL
Colorado,municipio,PR
Colorado,municipio,RS
Colorado do Oeste,municipio,RO
Coluna,municipio,MG
Combinado,municipio,TO
Comendador Gomes,municipio,MG
Comendador Levy Gasparian,municipio,RJ
Comercinho,municipio,MG
Comodoro,municipio,MT
Conceição,municipio,PB
Conceição da Aparecida,municipio,MG
Conceição da Barra,municipio,ES
Conceição da Barra de Minas,municipio,MG
Conceição da Feira,municipio,BA
Conceição das Alagoas,municipio,MG
Conceição das Pedras,municipio,MG
Conceição de Ipanema,municipio,MG
Conceição de Macabu,municipio,RJ
Conceição do Almeida,municipio,BA
Conceição do Araguaia,municipio,PA
Conceição do Canindé,municipio,PI
Conceição do Castelo,municipio,ES
Conceição do Coité,municipio,BA
Conceição do Jacuípe,municipio,BA
Conceição do Lago-Açu,municipio,MA
Conceição do Mato Dentro,municipio,MG
Conceição do Pará,municipio,MG
Conceição do Rio Verde,municipio,MG
Conceição do Tocantins,municipio,TO
Conceição dos Ouros,municipio,MG
Conchal,municipio,SP
Conchas,municipio,SP
Concórdia,municipio,SC
Concórdia do Pará,municipio,PA
Condado,municipio,PB
Condado,municipio,PE
Conde,municipio,PB
Conde,municipio,BA
Condeúba,municipio,BA
Condor,municipio,RS
Cônego Marinho,municipio,MG
Confins,municipio,MG
Confresa,municipio,MT
Congo,municipio,PB
Congonhal,municipio,MG
Congonhas,municipio,MG
Congonhas do Norte,municipio,MG
Congonhinhas,municipio,PR
Conquista,municipio,MG
Conquista d'Oeste,municipio,MT
Conselheiro Lafaiete,municipio,MG
Conselheiro Mairinck,municipio,PR
Conselheiro Pena,municipio,MG
Consolação,municipio,MG
Constantina,municipio,RS
Contagem,municipio,MG
Contenda,municipio,PR
Contendas do Sincorá,municipio,BA
Coqueiral,municipio,MG
Coqueiro Baixo,municipio,RS
Coqueiro Seco,municipio,AL
Coqueiros do Sul,municipio,RS
Coração de Jesus,municipio,MG
Coração de Maria,municipio,BA
Corbélia,municipio,PR
Cordeiro,municipio,RJ
Cordeirópolis,municipio,SP
Cordeiros,municipio,BA
Cordilheira Alta,municipio,SC
Cordisburgo,municipio,MG
Cordislândia,municipio,MG
Coreaú,municipio,CE
Coremas,municipio,PB
Corguinho,municipio,MS
Coribe,municipio,BA
Corinto,municipio,MG
Cornélio Procópio,municipio,PR
Coroaci,municipio,MG
Coroados,municipio,SP
Coroatá,municipio,MA
Coromandel,municipio,MG
Coronel Barros,municipio,RS
Coronel Bicaco,municipio,RS
Coronel Domingos Soares,municipio,PR
Coronel Ezequiel,municipio,RN
Coronel Fabriciano,municipio,MG
Coronel Freitas,municipio,SC
Coronel João Pessoa,municipio,RN
Coronel João Sá,municipio,BA
Coronel José Dias,municipio,PI
Coronel Macedo,municipio,SP
Coronel Martins,municipio,SC
Coronel Murta,municipio,MG
Coronel Pacheco,municipio,MG
Coronel Pilar,municipio,RS
Coronel Sapucaia,municipio,MS
Coronel Vivida,municipio,PR
Coronel Xavier Chaves,municipio,MG
Córrego Danta,municipio,MG
Córrego do Bom Jesus,municipio,MG
Córrego do Ouro,municipio,GO
Córrego Fundo,municipio,MG
Córrego Novo,municipio,MG
Correia Pinto,municipio,SC
Corrente,municipio,PI
Correntes,municipio,PE
Correntina,municipio,BA
Cortês,municipio,PE
Corumbá,municipio,MS
Corumbá de Goiás,municipio,GO
Corumbaíba,municipio,GO
Corumbataí,municipio,SP
Corumbataí do Sul,municipio,PR
Corumbiara,municipio,RO
Corupá,municipio,SC
Coruripe,municipio,AL
Cosmópolis,municipio,SP
Cosmorama,municipio,SP
Costa Marques,municipio,RO
Costa Rica,municipio,MS
Cotegipe,municipio,BA
Cotia,municipio,SP
Cotiporã,municipio,RS
Cotriguaçu,municipio,MT
Couto de Magalhães de Minas,municipio,MG
Couto Magalhães,municipio,TO
Coxilha,municipio,RS
Coxim,municipio,MS
Coxixola,municipio,PB
Craíbas,municipio,AL
Crateús,municipio,CE
Crato,municipio,CE
Cravinhos,municipio,SP
Cravolândia,municipio,BA
Criciúma,municipio,SC
Crisólita,municipio,MG
Crisópolis,municipio,BA
Crissiumal,municipio,RS
Cristais,municipio,MG
Cristais Paulista,municipio,SP
Cristal,municipio,RS
Cristal do Sul,municipio,RS
Cristalândia,municipio,TO
Cristalândia do Piauí,municipio,PI
Cristália,municipio,MG
Cristalina,municipio,GO
Cristiano Otoni,municipio,MG
Cristianópolis,municipio,GO
Cristina,municipio,MG
Cristinápolis,municipio,SE
Cristino Castro,municipio,PI
Cristópolis,municipio,BA
Crixás,municipio,GO
Crixás do Tocantins,municipio,TO
Croatá,municipio,CE
Cromínia,municipio,GO
Crucilândia,municipio,MG
Cruz,municipio,CE
Cruz Alta,municipio,RS
Cruz das Almas,municipio,BA
Cruz do Espírito Santo,municipio,PB
Cruz Machado,municipio,PR
Cruzália,municipio,SP
Cruzaltense,municipio,RS
Cruzeiro,municipio,SP
Cruzeiro da Fortaleza,municipio,MG
Cruzeiro do Iguaçu,municipio,PR
Cruzeiro do Oeste,municipio,PR
Cruzeiro do Sul,municipio,AC
Cruzeiro do Sul,municipio,PR
Cruzeiro do Sul,municipio,RS
Cruzeta,municipio,RN
Cruzília,municipio,MG
Cruzmaltina,municipio,PR
Cubatão,municipio,SP
Cubati,municipio,PB
Cuiabá,municipio,MT
Cuité,municipio,PB
Cuité de Mamanguape,municipio,PB
Cuitegi,municipio,PB
Cujubim,municipio,RO
Cumari,municipio,GO
Cumaru,municipio,PE
Cumaru do Norte,municipio,PA
Cumbe,municipio,SE
Cunha,municipio,SP
Cunha Porã,municipio,SC
Cunhataí,municipio,SC
Cuparaque,municipio,MG
Cupira,municipio,PE
Curaçá,municipio,BA
Curimatá,municipio,PI
Curionópolis,municipio,PA
Curitiba,municipio,PR
Curitibanos,municipio,SC
Curiúva,municipio,PR
Currais,municipio,PI
Currais Novos,municipio,RN
Curral de Cima,municipio,PB
Curral de Dentro,municipio,MG
Curral Novo do Piauí,municipio,PI
Curral Velho,municipio,PB
Curralinho,municipio,PA
Curralinhos,municipio,PI
Curuá,municipio,PA
Curuçá,municipio,PA
Cururupu,municipio,MA
Curvelândia,municipio,MT
Curvelo,municipio,MG
Custódia,municipio,PE
Cutias,municipio,AP
Damianópolis,municipio,GO
Damião,municipio,PB
Damolândia,municipio,GO
Darcinópolis,municipio,TO
Dário Meira,municipio,BA
Datas,municipio,MG
David Canabarro,municipio,RS
Davinópolis,municipio,MA
Davinópolis,municipio,GO
Delfim Moreira,municipio,MG
Delfinópolis,municipio,MG
Delmiro Gouveia,municipio,AL
Delta,municipio,MG
Demerval Lobão,municipio,PI
Denise,municipio,MT
Deodápolis,municipio,MS
Deputado Irapuan Pinheiro,municipio,CE
Derrubadas,municipio,RS
Descalvado,municipio,SP
Descanso,municipio,SC
Descoberto,municipio,MG
Desterro,municipio,PB
Desterro de Entre Rios,municipio,MG
Desterro do Melo,municipio,MG
Dezesseis de Novembro,municipio,RS
Diadema,municipio,SP
Diamante,municipio,PB
Diamante d'Oeste,municipio,PR
Diamante do Norte,municipio,PR
Diamante do Sul,municipio,PR
Diamantina,municipio,MG
Diamantino,municipio,MT
Dianópolis,municipio,TO
Dias d'Ávila,municipio,BA
Dilermando de Aguiar,municipio,RS
Diogo de Vasconcelos,municipio,MG
Dionísio,municipio,MG
Dionísio Cerqueira,municipio,SC
Diorama,municipio,GO
Dirce Reis,municipio,SP
Dirceu Arcoverde,municipio,PI
Divina Pastora,municipio,SE
Divinésia,municipio,MG
Divino,municipio,MG
Divino das Laranjeiras,municipio,MG
Divino de São Lourenço,municipio,ES
Divinolândia,municipio,SP
Divinolândia de Minas,municipio,MG
Divinópolis,municipio,MG
Divinópolis de Goiás,municipio,GO
Divinópolis do Tocantins,municipio,TO
Divisa Alegre,municipio,MG
Divisa Nova,municipio,MG
Divisópolis,municipio,MG
Dobrada,municipio,SP
Dois Córregos,municipio,SP
Dois Irmãos,municipio,RS
Dois Irmãos das Missões,municipio,RS
Dois Irmãos do Buriti,municipio,MS
Dois Irmãos do Tocantins,municipio,TO
Dois Lajeados,municipio,RS
Dois Riachos,municipio,AL
Dois Vizinhos,municipio,PR
Dolcinópolis,municipio,SP
Dom Aquino,municipio,MT
Dom Basílio,municipio,BA
Dom Bosco,municipio,MG
Dom Cavati,municipio,MG
Dom Eliseu,municipio,PA
Dom Expedito Lopes,municipio,PI
Dom Feliciano,municipio,RS
Dom Inocêncio,municipio,PI
Dom Joaquim,municipio,MG
Dom Macedo Costa,municipio,BA
Dom Pedrito,municipio,RS
Dom Pedro,municipio,MA
Dom Pedro de Alcântara,municipio,RS
Dom Silvério,municipio,MG
Dom Viçoso,municipio,MG
Domingos Martins,municipio,ES
Domingos Mourão,municipio,PI
Dona Emma,municipio,SC
Dona Eusébia,municipio,MG
Dona Francisca,municipio,RS
Dona Inês,municipio,PB
Dores de Campos,municipio,MG
Dores de Guanhães,municipio,MG
Dores do Indaiá,municipio,MG
Dores do Rio Preto,municipio,ES
Dores do Turvo,municipio,MG
Doresópolis,municipio,MG
Dormentes,municipio,PE
Douradina,municipio,PR
Douradina,municipio,MS
Dourado,municipio,SP
Douradoquara,municipio,MG
Dourados,municipio,MS
Doutor Camargo,municipio,PR
Doutor Maurício Cardoso,municipio,RS
Doutor Pedrinho,municipio,SC
Doutor Ricardo,municipio,RS
Doutor Severiano,municipio,RN
Doutor Ulysses,municipio,PR
Doverlândia,municipio,GO
Dracena,municipio,SP
Duartina,municipio,SP
Duas Barras,municipio,RJ
Duas Estradas,municipio,PB
Dueré,municipio,TO
Dumont,municipio,SP
Duque Bacelar,municipio,MA
Duque de Caxias,municipio,RJ
Durandé,municipio,MG
Echaporã,municipio,SP
Ecoporanga,municipio,ES
Edealina,municipio,GO
Edeia,municipio,GO
Eirunepé,municipio,AM
Eldorado,municipio,SP
Eldorado,municipio,MS
Eldorado do Carajás,municipio,PA
Eldorado do Sul,municipio,RS
Elesbão Veloso,municipio,PI
Elias Fausto,municipio,SP
Eliseu Martins,municipio,PI
Elisiário,municipio,SP
Elísio Medrado,municipio,BA
Elói Mendes,municipio,MG
Emas,municipio,PB
Embaúba,municipio,SP
Embu das Artes,municipio,SP
Embu-Guaçu,municipio,SP
Emilianópolis,municipio,SP
Encantado,municipio,RS
Encanto,municipio,RN
Encruzilhada,municipio,BA
Encruzilhada do Sul,municipio,RS
Enéas Marques,municipio,PR
Engenheiro Beltrão,municipio,PR
Engenheiro Caldas,municipio,MG
Engenheiro Coelho,municipio,SP
Engenheiro Navarro,municipio,MG
Engenheiro Paulo de Frontin,municipio,RJ
Engenho Velho,municipio,RS
Entre Folhas,municipio,MG
Entre Rios,municipio,BA
Entre Rios,municipio,SC
Entre Rios de Minas,municipio,MG
Entre Rios do Oeste,municipio,PR
Entre Rios do Sul,municipio,RS
Entre-Ijuís,municipio,RS
Envira,municipio,AM
Epitaciolândia,municipio,AC
Equador,municipio,RN
Erebango,municipio,RS
Erechim,municipio,RS
Ererê,municipio,CE
Érico Cardoso,municipio,BA
Ermo,municipio,SC
Ernestina,municipio,RS
Erval Grande,municipio,RS
Erval Seco,municipio,RS
Erval Velho,municipio,SC
Ervália,municipio,MG
Escada,municipio,PE
Esmeralda,municipio,RS
Esmeraldas,municipio,MG
Espera Feliz,municipio,MG
Esperança,municipio,PB
Esperança do Sul,municipio,RS
Esperança Nova,municipio,PR
Esperantina,municipio,TO
Esperantina,municipio,PI
Esperantinópolis,municipio,MA
Espigão Alto do Iguaçu,municipio,PR
Espigão d'Oeste,municipio,RO
Espinosa,municipio,MG
Espírito Santo,municipio,RN
Espírito Santo do Dourado,municipio,MG
Espírito Santo do Pinhal,municipio,SP
Espírito Santo do Turvo,municipio,SP
Esplanada,municipio,BA
Espumoso,municipio,RS
Estação,municipio,RS
Estância,municipio,SE
Estância Velha,municipio,RS
Esteio,municipio,RS
Estiva,municipio,MG
Estiva Gerbi,municipio,SP
Estreito,municipio,MA
Estrela,municipio,RS
Estrela d'Oeste,municipio,SP
Estrela Dalva,municipio,MG
Estrela de Alagoas,municipio,AL
Estrela do Indaiá,municipio,MG
Estrela do Norte,municipio,SP
Estrela do Norte,municipio,GO
Estrela do Sul,municipio,MG
Estrela Velha,municipio,RS
Euclides da Cunha,municipio,BA
Euclides da Cunha Paulista,municipio,SP
Eugênio de Castro,municipio,RS
Eugenópolis,municipio,MG
Eunápolis,municipio,BA
Eusébio,municipio,CE
Ewbank da Câmara,municipio,MG
Extrema,municipio,MG
Extremoz,municipio,RN
Exu,municipio,PE
Fagundes,municipio,PB
Fagundes Varela,municipio,RS
Faina,municipio,GO
Fama,municipio,MG
Faria Lemos,municipio,MG
Farias Brito,municipio,CE
Faro,municipio,PA
Farol,municipio,PR
Farroupilha,municipio,RS
Fartura,municipio,SP
Fartura do Piauí,municipio,PI
Fátima,municipio,TO
Fátima,municipio,BA
Fátima do Sul,municipio,MS
Faxinal,municipio,PR
Faxinal do Soturno,municipio,RS
Faxinal dos Guedes,municipio,SC
Faxinalzinho,municipio,RS
Fazenda Nova,municipio,GO
Fazenda Rio Grande,municipio,PR
Fazenda Vilanova,municipio,RS
Feijó,municipio,AC
Feira da Mata,municipio,BA
Feira de Santana,municipio,BA
Feira Grande,municipio,AL
Feira Nova,municipio,PE
Feira Nova,municipio,SE
Feira Nova do Maranhão,municipio,MA
Felício dos Santos,municipio,MG
Felipe Guerra,municipio,RN
Felisburgo,municipio,MG
Felixlândia,municipio,MG
Feliz,municipio,RS
Feliz Deserto,municipio,AL
Feliz Natal,municipio,MT
Fênix,municipio,PR
Fernandes Pinheiro,municipio,PR
Fernandes Tourinho,municipio,MG
Fernando de Noronha,distrito_estadual,PE
Fernando Falcão,municipio,MA
Fernando Pedroza,municipio,RN
Fernando Prestes,municipio,SP
Fernandópolis,municipio,SP
Fernão,municipio,SP
Ferraz de Vasconcelos,municipio,SP
Ferreira Gomes,municipio,AP
Ferreiros,municipio,PE
Ferros,municipio,MG
Fervedouro,municipio,MG
Figueira,municipio,PR
Figueirão,municipio,MS
Figueirópolis,municipio,TO
Figueirópolis d'Oeste,municipio,MT
Filadélfia,municipio,TO
Filadélfia,municipio,BA
Firmino Alves,municipio,BA
Firminópolis,municipio,GO
Flexeiras,municipio,AL
Flor da Serra do Sul,municipio,PR
Flor do Sertão,municipio,SC
Flora Rica,municipio,SP
Floraí,municipio,PR
Florânia,municipio,RN
Floreal,municipio,SP
Flores,municipio,PE
Flores da Cunha,municipio,RS
Flores de Goiás,municipio,GO
Flores do Piauí,municipio,PI
Floresta,municipio,PE
Floresta,municipio,PR
Floresta Azul,municipio,BA
Floresta do Araguaia,municipio,PA
Floresta do Piauí,municipio,PI
Florestal,municipio,MG
Florestópolis,municipio,PR
Floriano,municipio,PI
Floriano Peixoto,municipio,RS
Florianópolis,municipio,SC
Flórida,municipio,PR
Flórida Paulista,municipio,SP
Florínia,municipio,SP
Fonte Boa,municipio,AM
Fontoura Xavier,municipio,RS
Formiga,municipio,MG
Formigueiro,municipio,RS
Formosa,municipio,GO
Formosa da Serra Negra,municipio,MA
Formosa do Oeste,municipio,PR
Formosa do Rio Preto,municipio,BA
Formosa do Sul,municipio,SC
Formoso,municipio,MG
Formoso,municipio,GO
Formoso do Araguaia,municipio,TO
Forquetinha,municipio,RS
Forquilha,municipio,CE
Forquilhinha,municipio,SC
Fortaleza,municipio,CE
Fortaleza de Minas,municipio,MG
Fortaleza do Tabocão,municipio,TO
Fortaleza dos Nogueiras,municipio,MA
Fortaleza dos Valos,municipio,RS
Fortim,municipio,CE
Fortuna,municipio,MA
Fortuna de Minas,municipio,MG
Foz do Iguaçu,municipio,PR
Foz do Jordão,municipio,PR
Fraiburgo,municipio,SC
Franca,municipio,SP
Francinópolis,municipio,PI
Francisco Alves,municipio,PR
Francisco Ayres,municipio,PI
Francisco Badaró,municipio,MG
Francisco Beltrão,municipio,PR
Francisco Dantas,municipio,RN
Francisco Dumont,municipio,MG
Francisco Macedo,municipio,PI
Francisco Morato,municipio,SP
Francisco Sá,municipio,MG
Francisco Santos,municipio,PI
Franciscópolis,municipio,MG
Franco da Rocha,municipio,SP
Frecheirinha,municipio,CE
Frederico Westphalen,municipio,RS
Frei Gaspar,municipio,MG
Frei Inocêncio,municipio,MG
Frei Lagonegro,municipio,MG
Frei Martinho,municipio,PB
Frei Miguelinho,municipio,PE
Frei Paulo,municipio,SE
Frei Rogério,municipio,SC
Fronteira,municipio,MG
Fronteira dos Vales,municipio,MG
