name,type,uf
Amarante,municipio,PI
Amarante do Maranhão,municipio,MA
Amargosa,municipio,BA
Amaturá,municipio,AM
Amélia Rodrigues,municipio,BA
América Dourada,municipio,BA
Americana,municipio,SP
Americano do Brasil,municipio,GO
Américo Brasiliense,municipio,SP
Américo de Campos,municipio,SP
Ametista do Sul,municipio,RS
Amontada,municipio,CE
Amorinópolis,municipio,GO
Amparo,municipio,PB
Amparo,municipio,SP
Amparo de São Francisco,municipio,SE
Amparo do Serra,municipio,MG
Ampére,municipio,PR
Anadia,municipio,AL
Anagé,municipio,BA
Anahy,municipio,PR
Anajás,municipio,PA
Anajatuba,municipio,MA
Analândia,municipio,SP
Anamã,municipio,AM
Ananás,municipio,TO
Ananindeua,municipio,PA
Anápolis,municipio,GO
Anapu,municipio,PA
Anapurus,municipio,MA
Anastácio,municipio,MS
Anaurilândia,municipio,MS
Anchieta,municipio,ES
Anchieta,municipio,SC
Andaraí,municipio,BA
Andirá,municipio,PR
Andorinha,municipio,BA
Andradas,municipio,MG
Andradina,municipio,SP
André da Rocha,municipio,RS
Andrelândia,municipio,MG
Angatuba,municipio,SP
Angelândia,municipio,MG
Angélica,municipio,MS
Angelim,municipio,PE
Angelina,municipio,SC
Angical,municipio,BA
Angical do Piauí,municipio,PI
Angico,municipio,TO
Angicos,municipio,RN
Angra dos Reis,municipio,RJ
Anguera,municipio,BA
Ângulo,municipio,PR
Anhanguera,municipio,GO
Anhembi,municipio,SP
Anhumas,municipio,SP
Anicuns,municipio,GO
Anísio de Abreu,municipio,PI
Anita Garibaldi,municipio,SC
Anitápolis,municipio,SC
Anori,municipio,AM
Anta Gorda,municipio,RS
Antas,municipio,BA
Antonina,municipio,PR
Antonina do Norte,municipio,CE
Antônio Almeida,municipio,PI
Antônio Cardoso,municipio,BA
Antônio Carlos,municipio,MG
Antônio Carlos,municipio,SC
Antônio Dias,municipio,MG
Antônio Gonçalves,municipio,BA
Antônio João,municipio,MS
Antônio Martins,municipio,RN
Antônio Olinto,municipio,PR
Antônio Prado,municipio,RS
Antônio Prado de Minas,municipio,MG
Aparecida,municipio,PB
Aparecida,municipio,SP
Aparecida d'Oeste,municipio,SP
Aparecida de Goiânia,municipio,GO
Aparecida do Rio Doce,municipio,GO
Aparecida do Rio Negro,municipio,TO
Aparecida do Taboado,municipio,MS
Aperibé,municipio,RJ
Apiacá,municipio,ES
Apiacás,municipio,MT
Apiaí,municipio,SP
Apicum-Açu,municipio,MA
Apiúna,municipio,SC
Apodi,municipio,RN
Aporá,municipio,BA
Aporé,municipio,GO
Apuarema,municipio,BA
Apucarana,municipio,PR
Apuí,municipio,AM
Apuiarés,municipio,CE
Aquidabã,municipio,SE
Aquidauana,municipio,MS
Aquiraz,municipio,CE
Arabutã,municipio,SC
Araçagi,municipio,PB
Araçaí,municipio,MG
Aracaju,municipio,SE
Araçariguama,municipio,SP
Araças,municipio,BA
Aracati,municipio,CE
Aracatu,municipio,BA
Araçatuba,municipio,SP
Araci,municipio,BA
Aracitaba,municipio,MG
Aracoiaba,municipio,CE
Araçoiaba,municipio,PE
Araçoiaba da Serra,municipio,SP
Aracruz,municipio,ES
Araçu,municipio,GO
Araçuaí,municipio,MG
Aragarças,municipio,GO
Aragoiânia,municipio,GO
Aragominas,municipio,TO
Araguacema,municipio,TO
Araguaçu,municipio,TO
Araguaiana,municipio,MT
Araguaína,municipio,TO
Araguainha,municipio,MT
Araguanã,municipio,TO
Araguanã,municipio,MA
Araguapaz,municipio,GO
Araguari,municipio,MG
Araguatins,municipio,TO
Araioses,municipio,MA
Aral Moreira,municipio,MS
Aramari,municipio,BA
Arambaré,municipio,RS
Arame,municipio,MA
Aramina,municipio,SP
Arandu,municipio,SP
Arantina,municipio,MG
Arapeí,municipio,SP
Arapiraca,municipio,AL
Arapoema,municipio,TO
Araponga,municipio,MG
Arapongas,municipio,PR
Araporã,municipio,MG
Arapoti,municipio,PR
Arapuá,municipio,MG
Arapuã,municipio,PR
Araputanga,municipio,MT
Araquari,municipio,SC
Arara,municipio,PB
Araranguá,municipio,SC
Araraquara,municipio,SP
Araras,municipio,SP
Ararendá,municipio,CE
Arari,municipio,MA
Araricá,municipio,RS
Araripe,municipio,CE
Araripina,municipio,PE
Araruama,municipio,RJ
Araruna,municipio,PB
Araruna,municipio,PR
Arataca,municipio,BA
Aratiba,municipio,RS
Aratuba,municipio,CE
Aratuípe,municipio,BA
Arauá,municipio,SE
Araucária,municipio,PR
Araújos,municipio,MG
Araxá,municipio,MG
Arceburgo,municipio,MG
Arco-Íris,municipio,SP
Arcos,municipio,MG
Arcoverde,municipio,PE
Areado,municipio,MG
Areal,municipio,RJ
Arealva,municipio,SP
Areia,municipio,PB
Areia Branca,municipio,RN
Areia Branca,municipio,SE
Areia de Baraúnas,municipio,PB
Areial,municipio,PB
Areias,municipio,SP
Areiópolis,municipio,SP
Arenápolis,municipio,MT
Arenópolis,municipio,GO
Arês,municipio,RN
Argirita,municipio,MG
Aricanduva,municipio,MG
Arinos,municipio,MG
Aripuanã,municipio,MT
Ariquemes,municipio,RO
Ariranha,municipio,SP
Ariranha do Ivaí,municipio,PR
Armação dos Búzios,municipio,RJ
Armazém,municipio,SC
Arneiroz,municipio,CE
Aroazes,municipio,PI
Aroeiras,municipio,PB
Aroeiras do Itaim,municipio,PI
Arraial,municipio,PI
Arraial do Cabo,municipio,RJ
Arraias,municipio,TO
Arroio do Meio,municipio,RS
Arroio do Padre,municipio,RS
Arroio do Sal,municipio,RS
Arroio do Tigre,municipio,RS
Arroio dos Ratos,municipio,RS
Arroio Grande,municipio,RS
Arroio Trinta,municipio,SC
Artur Nogueira,municipio,SP
Aruanã,municipio,GO
Arujá,municipio,SP
Arvoredo,municipio,SC
Arvorezinha,municipio,RS
Ascurra,municipio,SC
Aspásia,municipio,SP
Assaí,municipio,PR
Assaré,municipio,CE
Assis,municipio,SP
Assis Brasil,municipio,AC
Assis Chateaubriand,municipio,PR
Assunção,municipio,PB
Assunção do Piauí,municipio,PI
Astolfo Dutra,municipio,MG
Astorga,municipio,PR
Atalaia,municipio,AL
Atalaia,municipio,PR
Atalaia do Norte,municipio,AM
Atalanta,municipio,SC
Ataleia,municipio,MG
Atibaia,municipio,SP
Atilio Vivacqua,municipio,ES
Augustinópolis,municipio,TO
Augusto Corrêa,municipio,PA
Augusto de Lima,municipio,MG
Augusto Pestana,municipio,RS
Augusto Severo,municipio,RN
Áurea,municipio,RS
Aurelino Leal,municipio,BA
Auriflama,municipio,SP
Aurilândia,municipio,GO
Aurora,municipio,CE
Aurora,municipio,SC
Aurora do Pará,municipio,PA
Aurora do Tocantins,municipio,TO
Autazes,municipio,AM
Avaí,municipio,SP
Avanhandava,municipio,SP
Avaré,municipio,SP
Aveiro,municipio,PA
Avelino Lopes,municipio,PI
Avelinópolis,municipio,GO
Axixá,municipio,MA
Axixá do Tocantins,municipio,TO
Babaçulândia,municipio,TO
Bacabal,municipio,MA
Bacabeira,municipio,MA
Bacuri,municipio,MA
Bacurituba,municipio,MA
Bady Bassitt,municipio,SP
Baependi,municipio,MG
Bagé,municipio,RS
Bagre,municipio,PA
Baía da Traição,municipio,PB
Baía Formosa,municipio,RN
Baianópolis,municipio,BA
Baião,municipio,PA
Baixa Grande,municipio,BA
Baixa Grande do Ribeiro,municipio,PI
Baixio,municipio,CE
Baixo Guandu,municipio,ES
Balbinos,municipio,SP
Baldim,municipio,MG
Baliza,municipio,GO
Balneário Arroio do Silva,municipio,SC
Balneário Barra do Sul,municipio,SC
Balneário Camboriú,municipio,SC
Balneário Gaivota,municipio,SC
Balneário Piçarras,municipio,SC
Balneário Pinhal,municipio,RS
Balneário Rincão,municipio,SC
Balsa Nova,municipio,PR
Bálsamo,municipio,SP
Balsas,municipio,MA
Bambuí,municipio,MG
Banabuiú,municipio,CE
Bananal,municipio,SP
Bananeiras,municipio,PB
Bandeira,municipio,MG
Bandeira do Sul,municipio,MG
Bandeirante,municipio,SC
Bandeirantes,municipio,PR
Bandeirantes,municipio,MS
Bandeirantes do Tocantins,municipio,TO
Bannach,municipio,PA
Banzaê,municipio,BA
Barão,municipio,RS
Barão de Antonina,municipio,SP
Barão de Cocais,municipio,MG
Barão de Cotegipe,municipio,RS
Barão de Grajaú,municipio,MA
Barão de Melgaço,municipio,MT
Barão de Monte Alto,municipio,MG
Barão do Triunfo,municipio,RS
Baraúna,municipio,RN
Baraúna,municipio,PB
Barbacena,municipio,MG
Barbalha,municipio,CE
Barbosa,municipio,SP
Barbosa Ferraz,municipio,PR
Barcarena,municipio,PA
Barcelona,municipio,RN
Barcelos,municipio,AM
Bariri,municipio,SP
Barra,municipio,BA
Barra Bonita,municipio,SP
Barra Bonita,municipio,SC
Barra d'Alcântara,municipio,PI
Barra da Estiva,municipio,BA
Barra de Guabiraba,municipio,PE
Barra de Santa Rosa,municipio,PB
Barra de Santana,municipio,PB
Barra de Santo Antônio,municipio,AL
Barra de São Francisco,municipio,ES
Barra de São Miguel,municipio,PB
Barra de São Miguel,municipio,AL
Barra do Bugres,municipio,MT
Barra do Chapéu,municipio,SP
Barra do Choça,municipio,BA
Barra do Corda,municipio,MA
Barra do Garças,municipio,MT
Barra do Guarita,municipio,RS
Barra do Jacaré,municipio,PR
Barra do Mendes,municipio,BA
Barra do Ouro,municipio,TO
Barra do Piraí,municipio,RJ
Barra do Quaraí,municipio,RS
Barra do Ribeiro,municipio,RS
Barra do Rio Azul,municipio,RS
Barra do Rocha,municipio,BA
Barra do Turvo,municipio,SP
Barra dos Coqueiros,municipio,SE
Barra Funda,municipio,RS
Barra Longa,municipio,MG
Barra Mansa,municipio,RJ
Barra Velha,municipio,SC
Barracão,municipio,PR
Barracão,municipio,RS
Barras,municipio,PI
Barreira,municipio,CE
Barreiras,municipio,BA
Barreiras do Piauí,municipio,PI
Barreirinha,municipio,AM
Barreirinhas,municipio,MA
Barreiros,municipio,PE
Barretos,municipio,SP
Barrinha,municipio,SP
Barro,municipio,CE
Barro Alto,municipio,BA
Barro Alto,municipio,GO
Barro Duro,municipio,PI
Barro Preto,municipio,BA
Barrocas,municipio,BA
Barrolândia,municipio,TO
Barroquinha,municipio,CE
Barros Cassal,municipio,RS
Barroso,municipio,MG
Barueri,municipio,SP
Bastos,municipio,SP
Bataguassu,municipio,MS
Batalha,municipio,PI
Batalha,municipio,AL
Batatais,municipio,SP
Batayporã,municipio,MS
Baturité,municipio,CE
Bauru,municipio,SP
Bayeux,municipio,PB
Bebedouro,municipio,SP
Beberibe,municipio,CE
Bela Cruz,municipio,CE
Bela Vista,municipio,MS
Bela Vista da Caroba,municipio,PR
